2026-08-24T08:29:03.239665,CAPTCHA
2026-08-24T08:31:13.104969,CAPTCHA
2026-08-24T08:31:46.497812,CAPTCHA
2026-08-24T08:32:53.497648,"$1,199.99 with 17 percent savings"
2026-08-24T10:59:22.897359,"$1,199.99 with 17 percent savings"
2026-08-24T12:00:45.372968,"$1,199.99 with 17 percent savings"
2026-08-24T15:21:47.348250,"$1,199.99 with 17 percent savings"
2026-08-24T17:48:07.941632,"$1,199.99 with 17 percent savings"
2026-08-24T19:45:02.397893,CAPTCHA
2026-08-24T21:06:05.205176,CAPTCHA
